,time,dataset_rows,dataset_size_num,dataset_size,number_of_cores
0,5.263941,32561,1,3606463,4
1,5.42799,325610,10,36064333,4
2,6.938834,651220,20,72128633,4
3,9.654098,976830,30,108192933,4
4,12.515898,1302440,40,144257233,4
5,14.801597,1628050,50,180321533,4
6,18.779249,1953660,60,216385833,4
7,21.280886,2279270,70,252450133,4
8,23.644332,2604880,80,288514433,4
9,27.746466,2930490,90,324578733,4
10,30.178613,3256100,100,360643033,4
