,train_time,predict_time,time,dataset_rows,dataset_size_num,dataset_size,number_of_cores
0,71.489612,0,71.489612,3256100,100,360643033,1
1,49.522613,0,49.522613,3256100,100,360643033,2
2,49.087734,0,49.087734,3256100,100,360643033,3
3,39.948902,0,39.948902,3256100,100,360643033,4
