,time,dataset_rows,dataset_size_num,dataset_size,number_of_cores
0,59.164298,3256100,100,360643033,1
1,39.633448,3256100,100,360643033,2
2,39.123552,3256100,100,360643033,3
3,32.551225,3256100,100,360643033,4
