,dataset_size_num,dataset_size,pyspark,sklearn
0,1,3606463,8.193261,0.223174
1,10,36064333,13.732288,0.853806
2,20,72128633,15.391563,1.461397
3,30,108192933,20.29276,1.825622
4,40,144257233,33.003398,3.395041
5,50,180321533,41.0352,4.214804
6,60,216385833,38.541799,4.782875
7,70,252450133,61.722846,5.688119
8,80,288514433,53.294567,6.323689
9,90,324578733,54.831496,7.503756
10,100,360643033,55.042272,7.75239
