,dataset_size_num,dataset_size,pyspark_time,pyspark_train_time,pyspark_predict_time,sklearn_time,sklearn_train_time,sklearn_predict_time
0,100,360643033,9.307675999999999,9.288191,0.019485,4.860463,4.747397,0.113066
1,200,721286033,13.847091,13.829919,0.017172,12.328624,12.08588,0.242744
2,300,1081929033,20.52015,20.504116,0.016034,19.882161,19.490621,0.39154
3,400,1442572033,26.406233,26.391288,0.014945,28.171981,27.664861,0.50712
4,500,1803215033,34.01985,34.00474,0.01511,37.124210999999995,36.493089,0.631122
